Quý,Năm,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản, Khấu hao TSCĐ và BĐSĐT, Các khoản dự phòng," Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ"," Lãi, lỗ từ hoạt động đầu tư", Chi phí lãi vay, Các khoản điều chỉnh khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động," Tăng, giảm các khoản phải thu"," Tăng, giảm hàng tồn kho"," Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)"," Tăng, giảm chi phí trả trước"," Tăng, giảm chứng khoán kinh doanh", Tiền lãi vay đã trả, Thuế thu nhập doanh nghiệp đã nộp, Tiền thu khác từ hoạt động kinh doanh, Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5.Tiền chi đầu tư góp vốn vào đơn vị khác,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Lưu chuyển tiền thuần từ hoạt động đầu tư,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3.Tiền thu từ đi vay,4.Tiền chi trả nợ gốc vay,5.Tiền chi trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu từ vốn góp của cổ đông không kiểm soát,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ,Chỉ số tạo tiền,Tỷ lệ chi trả lãi vay
1,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,"141,116,182,031",,"1,067,682,378","-1,699,647,575",,,"51,438,640,869",,"191,922,858,303","107,146,756,067","818,426,774,499","-1,012,187,658,484","15,393,708,758",,"-51,438,640,869","-28,243,523,895",,,"41,020,274,379","-45,319,602,882",,,,,,,"-45,319,602,882","50,000,000",,"3,584,516,770,623","-4,454,075,681,886",,,,"-869,508,911,263","-873,808,239,766","1,457,507,013,399",,"583,698,773,633",0.2906844118698505,0.7974603077765469
3,2017,"219,043,383,267",,"839,421,679","-12,106,676,660",,,"67,317,515,612",,"275,093,643,898","11,659,334,466","872,196,383,148","-915,942,414,034","2,937,670,199",,"-67,317,515,612","-43,828,964,022",,,"134,798,138,043","-45,262,657,486",,,,,,,"-45,262,657,486","50,000,000",,"4,968,024,338,778","-6,101,165,186,173",,,,"-1,133,090,847,395","-1,043,555,366,838","1,617,568,799,966",,"574,013,433,128",0.6153947041563433,2.002422947690763
4,2017,"363,073,914,586",,"1,084,692,542","-24,800,910,396",,,"78,950,962,895",,"418,308,659,627","-164,279,068,063","256,197,576,599","145,047,541,347","-15,268,287,085",,"-78,950,962,895","-73,196,142,530",,,"487,859,317,000","-45,718,971,915",,,,,,,"-45,718,971,915","200,000,000,000","50,000,000","6,582,076,412,584","-7,843,697,675,374",,"-200,000,000,000",,"-1,261,571,262,790","-819,430,917,705","1,457,507,013,399",,"638,076,095,694",1.343691456204691,6.179270006482674
1,2018,"79,853,214,234",,"260,957,547","167,504,987",,"-4,834,534,001","22,333,766,505",,"97,736,259,272","-117,374,979,282","-170,634,526,544","-1,087,011,024,290",,,"-22,333,766,505",,,,,,,,,,,"4,884,584,001","4,884,584,001",,,"2,749,127,092,540","-1,468,167,592,760",,,,"1,280,959,499,780","-32,304,463,073","638,076,095,694",,"605,771,632,622",,
2,2018,"183,162,744,705",,"498,829,316","9,566,957,128",,"-8,760,090,105","44,085,661,410",,"228,554,102,454","-294,415,416,271","29,257,991,761","-972,698,628,135","7,445,029,019",,"-44,085,661,410","-41,850,771,371",,,"-1,087,793,353,953","-53,942,041",,,,,,"8,760,090,105","8,706,148,064",,,"4,867,689,979,355","-3,919,235,505,300",,,,"948,454,474,055","-130,632,731,834","638,076,095,694",,"507,443,363,860",-5.938944383613538,-24.674538595132763
3,2018,"284,266,492,841",,"735,335,391","11,708,717,381",,,"67,467,232,938",,"364,177,778,551","-99,593,775,797","-52,719,125,093","-624,667,792,570","3,819,189,685",,"-67,467,232,938","-62,512,677,465",,,"-538,963,635,626","-53,942,041",,,,,,,"-53,942,041",,,"6,166,787,952,649","-5,391,728,555,300",,,,"775,059,397,349","236,041,819,682","638,076,095,694",,"874,117,915,376",-1.895980177753348,-7.988524386664687
4,2018,"434,840,145,684",,"760,571,590","14,477,629,465",,,"95,670,507,863",,"545,748,854,602","-336,716,033,059","-784,164,279,688","-583,882,608,457","-14,324,516,597",,"-95,670,507,863","-92,733,427,092",,,"-1,361,742,518,154","-21,546,662",,,,"-75,000,000,000",,,"-75,021,546,662","280,000,000,000",,"9,144,813,732,642","-7,370,544,340,795",,"-280,000,000,000",,"1,774,269,391,847","337,505,327,031","638,076,095,694",,"975,581,422,725",-3.1315933721160683,-14.233670841426001
1,2019,"80,360,959,525",,"215,227,949","592,393,185",,"-5,820,039,280","32,165,243,647",,"107,513,785,026","-71,589,236,351","120,200,840,554","223,714,681,468","5,972,484,873",,"-32,165,243,647","-20,174,777,790",,,"333,472,534,133","-1,936,040,656",,,,,,"5,820,039,280","3,883,998,624",,,"2,182,776,136,518","-2,926,050,660,514",,,,"-743,274,523,996","-405,917,991,239","948,378,394,826",,"542,460,403,587",4.149683330115763,10.367480433001553
2,2019,"200,805,510,516",,"377,916,773","-1,092,688,828",,,"-15,643,720,255","62,795,538,485","247,242,556,691","-330,461,665,884","361,690,873,479","46,893,956,561","-10,142,603,878",,"-62,795,538,485","-36,562,079,023",,,"215,865,499,461","-2,754,222,475",,,,,,"15,643,720,255","12,889,497,780","6,800,000,000",,"4,723,969,914,600","-4,739,597,086,442",,"-68,492,379,900",,"-77,319,551,742","151,435,445,499","948,378,394,826",,"1,099,813,840,325",1.074997886792554,-13.798859602593936
3,2019,"291,857,162,888",,"598,613,860","9,149,555,386",,,,,"399,436,147,295","631,370,562,390","176,565,394,875","-873,547,408,245","-39,339,315,897",,"-96,673,554,887","-62,919,469,789",,,"134,892,355,742","-3,461,594,367",,,,,,,"-3,461,594,367","109,817,920,000",,"7,779,513,996,085","-7,645,051,789,207",,"-171,697,920,000",,"72,582,206,878","204,012,968,253","948,378,394,826",,"1,152,391,363,079",0.4621862091963282,
4,2019,"278,002,659,252",,"836,635,952","18,859,508,387",,"-619,353,133,695","138,038,605,818",,"-183,615,724,286","170,976,296,717","-872,773,521,939","292,380,566,517","-65,670,131,333",,"-137,795,318,147","-82,148,822,013",,,"-878,646,654,484","-3,772,776,185",,,,,,,"-3,772,776,185","109,817,920,000",,"11,992,757,221,031","-11,250,932,109,473",,"-171,697,919,999",,"679,945,111,559","-202,474,319,110","855,222,356,532",,"652,748,037,422",-3.160569243647186,-6.365224056540174
1,2020,"46,997,871,499",,"305,820,102","2,592,474,179","-5,950,300,000","-19,402,780,881","44,337,261,459",,"68,880,346,358","81,281,895,644","368,371,347,217","-612,745,359,808","13,480,876,537",,"-38,404,634,873","-9,667,141,268","386,590,000","-5,519,703,000","-133,935,783,193","-1,711,060,819",,"-399,692,974,435","578,234,168,154",,,"7,548,420,992","184,378,553,892",,,"4,394,694,284,075","-4,402,291,702,459",,,,"-7,597,418,384","42,845,352,315","869,649,553,585",,"912,494,905,900",-2.849826575568424,-3.020840232021422
2,2020,"26,332,016,199",,"652,838,001","7,597,254,662","-1,503,999,203","-31,419,681,256","79,712,968,249",,"81,371,396,652","493,262,350,773","1,058,241,785,987","-992,477,139,210","8,501,132,323",,"-77,807,216,584","-23,606,280,229","641,590,000","-5,519,703,000","542,607,916,712","-2,098,215,364",,"-1,114,732,056,569","1,548,510,153,117",,,"32,164,231,090","463,844,112,274",,,"6,891,703,203,701","-8,164,109,804,534",,,,"-1,272,406,600,833","-265,954,571,847","869,649,553,586",,"603,694,981,739",20.60639461146186,6.8070218514138325
3,2020,"17,840,870,149",,"1,018,565,289","17,350,844,091",,"-39,789,562,379","100,691,299,707",,"97,112,016,857","521,717,132,551","1,358,872,770,366","-844,483,920,012","14,324,730,583",,"-82,109,372,452","-23,606,280,229","1,974,240,000","-9,193,684,990","1,034,607,632,674","-2,411,726,275",,"-1,298,144,459,554","1,463,065,859,099",,,"46,320,902,326","208,830,575,596",,,"9,212,480,580,664","-10,747,874,067,904",,"-78,981,792,000",,"-1,614,375,279,240","-370,937,070,970","869,649,553,586",,"498,712,482,616",57.99087286849576,10.275044970961623
4,2020,"28,427,378,490",,"1,372,163,399","34,392,956,980","-53,865,966","-57,184,977,572","114,106,150,785",,"121,059,806,116","59,449,861,130","1,543,145,459,973","47,756,061,742","10,251,817,827",,"-108,458,325,831","-23,606,280,229",,"-5,761,400,377","1,643,837,000,351","-3,429,075,142",,"-1,811,473,657,661","1,477,865,203,390",,,"53,578,933,128","-283,458,596,285",,,"11,188,667,046,187","-12,620,754,388,242",,"-78,981,792,000",,"-1,511,069,134,055","-150,690,729,989","852,194,969,387",,"701,504,239,398",57.82583859884436,14.406208508850105
1,2021,"38,706,575,606",,"337,216,360","752,838,853",,"-29,644,462,765","17,807,544,483",,"27,959,712,537","5,435,248,508","-576,016,056,154","59,790,024,263","20,875,627,071",,"-15,300,138,549","-9,770,069,554",,"-1,830,600,000","-488,856,251,877","-1,054,843,636",,"-3,315,039,700,237","1,478,594,531,487",,,"11,434,657,532","-1,826,065,354,854",,,"3,564,728,827,999","-1,351,821,024,706",,,,"2,212,907,803,293","-102,013,803,438","692,847,261,483",,"590,833,458,045",-12.62979853483141,-27.452198833123084
2,2021,"76,162,210,086",,"1,000,043,864","-845,177,178",,"-72,998,742,131","55,426,901,246",,"58,745,235,887","135,406,713,923","-635,918,798,375","-301,959,958,934","-3,452,485,114",,"-48,248,853,237","-9,770,069,554",,"-2,385,400,000","-807,583,615,404","-1,735,128,679",,"-5,634,519,582,263","3,735,459,879,062",,,"59,663,811,187","-1,841,131,020,693",,,"6,832,536,969,525","-4,276,152,480,455",,,,"2,556,384,489,070","-92,330,147,027","701,504,239,398",,"609,174,092,371",-10.603468760847429,-14.57024652739866
3,2021,"137,068,321,255",,"3,515,261,832","81,683,546,465","-183,410,000","-115,005,772,458","92,260,902,476",,"199,338,849,570","106,047,008,823","-1,016,137,058,086","240,276,659,617","9,241,934,721",,"-83,308,137,020","-25,002,511,571",,"-2,385,400,000","-571,928,653,946","-1,735,128,679",,"-9,605,435,886,578","7,155,952,182,449","-120,627,259,686",,"107,600,880,538","-2,464,245,211,956","10,244,000,000",,"10,305,389,166,736","-7,632,162,086,902",,,,"2,683,471,079,834","-352,702,786,068","701,504,239,398",,"348,801,453,330",-4.172580861204186,-6.199035979458112
4,2021,"554,140,265,577",,"3,810,973,807","19,844,904,919","4,688,782,604","-168,403,731,939","132,229,176,761",,"546,310,371,729","307,970,736,397","-3,117,301,638,902","1,310,951,239,445","-43,394,377,943",,"-123,068,425,960","-90,641,021,151",,"-2,385,400,000","-1,211,558,516,385","-2,178,859,857",,"-12,783,899,981,234","10,802,338,413,500","-120,627,928,834",,"141,576,335,098","-1,962,792,021,327","10,244,000,000",,"15,431,550,222,885","-11,863,750,642,085",,,,"3,578,043,580,800","403,693,043,088","701,504,239,398","12,267,396","1,105,209,549,882",-2.1863751682499766,-9.162565676218746
1,2022,"203,949,391,656",,"1,662,460,971","3,996,809,854",,"-42,408,690,253","46,336,598,711",,"213,536,570,939","4,216,068,601","-191,289,789,892","-89,596,512,177","-61,538,293,744",,"-41,511,002,185","-27,235,874,297",,"-669,040,001","-194,087,872,756","-19,812,389,212",,"-3,245,500,000,000","3,240,000,000,000",,,"39,427,868,332","14,115,479,120",,,"2,748,014,386,731","-2,754,129,323,691",,,,"-6,114,936,960","-186,087,330,596","1,105,209,549,882",,"919,122,219,286",-0.9516472257164985,-4.188651695531654
2,2022,"263,002,425,877",,"3,325,866,408","1,383,144,167","-316,156,076","-84,525,553,987","95,335,977,879",,"278,205,704,268","-61,037,954,039","-186,498,862,917","-198,116,469,868","-128,107,670,800",,"-98,718,785,374","-27,251,966,097",,"-771,840,000","-422,297,844,827","-56,777,525,102",,"-5,687,700,000,000","6,226,200,000,000",,,"83,821,734,818","565,544,209,716",,,"7,769,298,176,441","-8,534,164,053,204",,"-39,490,896,000",,"-804,356,772,763","-661,110,407,874","1,105,209,549,882","316,156,076","444,415,298,084",-1.6056804168966057,-4.429574796652094
3,2022,"368,772,293,210",,"5,156,524,273","-5,085,805,881","-646,984,855","-130,556,585,099","155,824,745,607",,"393,464,187,255","-324,649,877,752","-529,524,930,404","-14,593,095,635","-303,289,743,399",,"-152,337,038,856","-27,251,966,097",,"-787,133,000","-958,969,597,888","-60,394,736,640",,"-6,955,000,000,000","8,341,500,000,000","-2,461,125,318",,"123,788,829,363","1,447,432,967,405",,,"11,859,662,122,391","-13,006,531,084,190",,"-39,490,896,000",,"-1,186,359,857,799","-697,896,488,282","1,105,209,549,882","646,984,855","407,960,046,455",-2.6004383071748505,-6.154154747068112
4,2022,"485,623,413,969",,"7,724,391,271","-4,485,565,669","-42,532,911","-147,853,905,457","231,527,904,809",,"572,493,706,012","-124,987,275,268","-1,586,698,655,768","6,307,788,199","-448,468,460,182",,"-215,192,879,980","-135,411,036,538",,"-787,133,000","-1,932,743,946,525","-93,115,905,790","239,047,620","-7,077,700,000,000","9,299,200,000,000","-2,461,125,318",,"158,973,736,193","2,285,135,752,705","11,478,000,000",,"15,430,815,381,897","-16,114,890,299,865",,"-39,490,896,000",,"-712,087,813,968","-359,696,007,788","1,105,209,549,882","42,532,911","745,556,075,005",-3.979923312858176,-8.347779711993791
1,2023,"2,070,443,499",,"79,168,733,526","7,570,625,313","-40,414,253","-10,642,221,418","85,392,975,060",,"163,520,141,727","-46,688,358,405","178,880,751,275","-620,763,899,006","12,660,503,862",,"-87,487,398,876","-111,047,856",,,"-399,989,307,279","-152,157,661,444",,"-60,000,000,000","984,000,000,000",,,"34,369,577,091","806,211,915,647",,,"3,780,338,192,295","-4,245,334,201,502",,,,"-464,996,009,207","-58,773,400,839","745,556,075,005","40,414,253","686,823,088,419",-193.19015827874085,-4.684100852534462
2,2023,"-198,319,348,021",,"100,284,170,644","-11,596,968,277","-12,217,590","-16,038,055,026","158,168,974,805",,"32,486,556,535","1,241,214,914","433,952,394,631","65,133,865,058","-20,503,424,448",,"-161,241,473,540","-111,047,856",,"-3,344,000,000","347,614,085,294","-367,547,326,730",,"-5,687,700,000,000","1,189,000,000,000",,,"45,362,597,400","494,815,270,670",,,"6,217,069,851,694","-7,363,381,091,879",,"-59,236,267,500",,"-1,205,547,507,685","-363,118,151,721","745,556,075,005","12,217,590","382,450,140,874",-1.7527996575361433,2.197738752005942
3,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,"-294,181,683,290",,"233,071,988,505","2,521,192,297","-74,512,931","-50,019,830,875","284,917,373,606",,"176,234,527,312","58,336,178,357","-1,944,517,235,201","175,960,973,788","12,732,185,744",,"-301,416,254,867","-111,047,856",,"-3,344,000,000","-1,826,124,672,723","-705,276,095,241","38,832,000","-2,551,000,000,000","2,516,000,000,000",,,"68,561,151,538","-671,676,111,703","27,288,630,000",,"16,941,931,226,074","-14,196,990,842,111",,"-59,236,267,500",,"2,712,992,746,463","215,191,962,037","745,556,075,005","74,512,931","960,822,549,973",6.20747237659536,-6.409313161956454
1,2024,"88,749,455,132",,"73,679,737,729","4,346,970,885","-197,559,945","-18,969,744,092","60,442,704,271",,"208,051,563,980","-43,396,764,330","892,925,593,492","382,784,659,978","36,389,524,758",,"-60,881,323,316","-38,913,134,952",,"-10,000,000,000","1,366,960,119,610","-116,843,757,294","3,972,000","-1,164,000,000,000","685,000,000,000",,,"29,962,084,903","-565,877,700,391",,,"3,066,542,968,579","-3,957,769,703,782",,,,"-891,226,735,203","-90,144,315,984","960,822,549,973","197,559,945","870,875,793,934",15.402462106126455,22.615800138278363
2,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024,"357,609,239,688",,"231,729,888,815","26,546,172,260","-117,872,452","-36,881,715,934","174,540,978,487",,"753,426,690,864","33,432,654,347","-697,506,085,615","1,830,133,439,274","30,112,636,184",,"-108,872,598,638","-38,913,134,952",,"-10,000,000,000","1,791,813,601,464","-378,510,705,288","21,592,000","-1,710,000,000,000","2,278,000,000,000",,,"76,696,970,745","266,207,857,457","51,569,080,000",,"12,907,836,344,938","-13,699,831,919,265",,"-54,283,249,510",,"-794,709,743,837","1,263,311,715,084","960,822,549,973","117,872,452","2,224,252,137,509",5.010534971152555,10.265862017024594
4,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
