Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'4/2017,"4,145,823,479,439","196,900,674,007","3,948,922,805,432","3,381,087,938,268","567,834,867,164","11,952,439,653","12,023,797,283","11,633,447,283",,"342,142,741,086","88,787,038,114","136,833,730,334","7,318,909,811","122,108,825","7,196,800,986","144,030,531,320","29,367,178,508",,"114,663,352,812","114,663,352,812",,,
'1/2018,"4,033,672,501,176","149,365,873,284","3,884,306,627,892","3,395,908,659,765","488,397,968,127","10,039,381,400","25,800,946,505","22,338,766,505","-306,802,964,530","92,807,251,491",,"73,026,187,001","6,871,734,747","44,707,515","6,827,027,232","79,853,214,233","15,970,642,847",,"63,882,571,386","63,882,571,386",,"1,597",
'2/2018,"3,818,102,286,716","222,545,410,011","3,595,556,876,705","3,097,921,268,956","497,635,607,749","7,812,781,199","26,427,344,905","21,746,894,905",,"310,103,985,607","73,669,039,087","95,248,019,349","8,204,471,748","142,960,626","8,061,511,122","103,309,530,471","20,661,906,094",,"82,647,624,377","82,647,624,377",,"1,215",
'3/2018,"3,725,610,394,363","172,943,513,295","3,552,666,881,068","3,057,907,171,462","494,759,709,606","8,445,430,279","18,958,651,617","23,381,571,528","-309,632,482,502","82,470,124,090",,"92,143,881,676","8,985,949,557","26,083,098","8,959,866,459","101,103,748,135","20,220,749,627",,"80,882,998,508","80,882,998,508",,"1,189",
'4/2018,"4,421,804,085,272","155,976,840,496","4,265,827,244,776","3,703,011,106,910","562,816,137,866","15,902,726,493","29,385,874,925","28,203,274,925","-297,985,869,805","108,911,801,209",,"142,435,318,420","10,088,388,207","1,950,053,785","8,138,334,422","150,573,652,842","30,174,777,790",,"120,398,875,052","120,398,875,052",,"1,771",
'1/2019,"4,119,016,675,693","101,362,233,561","4,017,654,442,132","3,538,305,298,456","479,349,143,676","9,553,795,373","34,804,043,647","32,165,243,647",,"313,297,522,398","66,060,916,433","74,740,456,571","5,635,421,529","14,918,575","5,620,502,954","80,360,959,525","16,387,301,233",,"63,973,658,292","64,367,544,951","-393,886,659",947,
'2/2019,"4,078,674,874,440","93,499,100,134","3,985,175,774,306","3,441,223,765,938","543,952,008,368","14,778,228,202","33,082,154,838","30,630,294,838",,"336,972,925,324","75,929,342,042","112,745,814,366","7,748,419,210","49,682,584","7,698,736,626","120,444,550,992","26,357,390,766",,"94,087,160,226","96,922,760,937","-2,835,600,711","1,416",
'3/2019,"4,509,670,882,097","85,418,264,638","4,424,252,617,459","3,869,543,153,074","554,709,464,385","24,832,032,447","39,285,574,761","35,035,276,676",,"353,821,582,872","102,357,311,648","84,077,027,551","7,012,386,873","37,762,048","6,974,624,825","91,051,652,376","19,229,352,224",,"71,822,300,152","73,096,077,338","-1,273,777,186",963,
'4/2019,"4,281,594,113,848","74,717,200,582","4,206,876,913,266","3,695,763,821,769","511,113,091,497","31,741,419,848","43,648,360,414","40,207,790,657",,"405,464,020,005","114,416,361,750","-20,674,230,824","6,871,236,398","51,509,213","6,819,727,185","-13,854,503,639","9,667,141,268","2,711,700,831","-26,233,345,738","-20,270,940,696","-5,962,405,042",-257,
'1/2020,"4,141,484,039,783","48,516,813,098","4,092,967,226,685","3,529,435,646,990","563,531,579,695","23,424,409,854","51,678,883,602","44,337,261,459",,"390,743,399,507","101,989,670,704","42,544,035,736","4,847,011,962","393,176,198","4,453,835,764","46,997,871,500","11,377,631,579",,"35,620,239,921","36,885,276,553","-1,265,036,632",467,
'2/2020,"3,246,782,503,535","42,570,317,932","3,204,212,185,603","2,741,202,734,059","463,009,451,544","15,769,018,450","41,862,091,790","35,375,706,790",,"362,893,987,161","96,710,086,690","-22,687,695,647","2,380,972,982","359,132,637","2,021,840,345","-20,665,855,302","-911,161,955",,"-19,754,693,347","-17,694,106,128","-2,060,587,219",-224,
'3/2020,"3,459,135,307,901","26,964,568,754","3,432,170,739,147","2,955,945,062,699","476,225,676,448","13,334,860,110","21,868,389,075","20,978,331,458",,"388,324,633,962","92,554,958,451","-13,187,444,930","4,486,803,444","-209,495,436","4,696,298,880","-8,491,146,050","-6,634,820,293","4,810,806,356","-6,667,132,113","-235,767,713","-6,431,364,400",,-03
'4/2020,"3,957,701,485,002","20,483,802,760","3,937,217,682,242","3,398,539,598,104","538,678,084,138","18,020,220,309","18,201,622,457","16,550,160,453","-417,514,003,564","113,332,358,140",,"7,650,320,286","2,985,558,832","49,370,778","2,936,188,054","10,586,508,340","27,552,770,823","-17,984,578,547","1,018,316,064","5,763,193,535","-4,744,877,471",479,
'1/2021,"4,110,107,273,988","26,678,247,905","4,083,429,026,083","3,620,451,643,717","462,977,382,366","32,052,223,964","24,255,941,928","17,807,544,483","-332,711,593,688",,"100,146,578,607","37,915,492,107","2,051,658,212","1,260,574,713","791,083,499","38,706,575,606","7,741,315,121",,"30,965,260,485","30,965,260,485",,392,
'2/2021,"4,381,599,886,915","22,303,764,374","4,359,296,122,541","3,754,373,404,973","604,922,717,568","48,938,004,162","34,492,956,138","34,997,277,074",,"467,711,739,130","116,704,660,493","34,951,365,969","2,151,119,825","-391,255,674","2,542,375,499","37,493,741,468","7,258,719,623",,"30,235,021,845","30,097,027,452","137,994,393",381,
'3/2021,"5,019,530,159,014","26,271,611,785","4,993,258,547,229","4,298,601,407,878","694,657,139,351","52,715,365,660","38,116,670,842","36,834,001,230",,"443,603,370,397","206,581,025,979","59,071,437,793","1,908,913,146","74,239,769","1,834,673,377","60,906,111,170","12,158,295,908","1,505,513,642","47,242,301,620","47,449,901,841","-207,600,221",601,
'4/2021,"8,526,711,600,207","49,290,388,904","8,477,421,211,303","7,210,975,343,723","1,266,445,867,580","63,412,939,667","46,179,553,095","39,968,274,285",,"734,919,088,949","134,331,742,514","414,428,422,689","3,180,771,134","537,249,498","2,643,521,636","417,071,944,325","80,967,134,725","610,940,130","335,493,869,470","335,253,703,231","240,166,239","4,245",
'1/2022,"7,812,554,814,796","26,918,551,329","7,785,636,263,467","6,552,878,920,893","1,232,757,342,574","50,469,467,254","54,657,102,810","46,336,598,711",,"732,369,557,300","293,643,992,434","202,556,157,284","3,211,672,960","1,818,438,588","1,393,234,372","203,949,391,656","34,595,047,898",,"169,354,343,758","164,586,799,706","4,767,544,052","2,084",
'2/2022,"6,237,039,893,673","23,843,488,885","6,213,196,404,788","5,269,999,737,650","943,196,667,138","44,029,492,034","60,606,782,472","48,999,379,168",,"775,221,298,075","95,858,178,559","55,539,900,066","3,904,738,183","391,604,029","3,513,134,154","59,053,034,220","11,525,848,210","746,922,814","46,780,263,196","46,687,414,643","92,848,553",394,
'3/2022,"7,736,201,879,408","27,053,762,998","7,709,148,116,410","6,512,534,168,606","1,196,613,947,804","45,107,410,173","63,437,281,890","60,488,767,728",,"865,250,901,647","210,175,932,537","102,857,241,903","3,955,246,154","1,042,620,724","2,912,625,430","105,769,867,333","20,503,496,963",,"85,266,370,370","84,543,692,032","722,678,338",714,
'4/2022,"8,490,914,208,403","33,094,236,397","8,457,819,972,006","7,127,210,550,266","1,330,609,421,740","34,140,128,381","77,618,363,820","75,703,159,202",,"886,455,840,658","287,660,781,126","113,014,564,517","5,182,451,705","1,345,895,461","3,836,556,244","116,851,120,761","20,062,298,584","115,602,092","96,673,220,085","94,542,948,196","2,130,271,889",798,
'1/2023,"7,787,292,450,606","34,423,987,774","7,752,868,462,832","6,566,487,926,207","1,186,380,536,625","16,544,379,251","86,375,871,735","85,392,975,060",,"913,156,107,116","205,361,136,774","-1,968,199,749","5,016,231,335","977,588,087","4,038,643,248","2,070,443,499",,,"2,070,443,499","-5,074,297,215","7,144,740,714",-43,
'2/2023,"7,199,809,952,158","29,480,018,263","7,170,329,933,895","6,086,671,998,859","1,083,657,935,036","9,500,831,018","76,239,325,755","72,775,999,745",,"962,951,067,431","256,147,066,909","-202,178,694,041","4,401,237,481","2,612,334,960","1,788,902,521","-200,389,791,520","14,362,116,894",,"-214,751,908,414","-218,606,048,338","3,854,139,924","-1,605",
'3/2023,"8,265,642,407,244","29,690,355,694","8,235,952,051,550","6,864,645,329,325","1,371,306,722,225","21,296,100,900","65,328,866,643","62,847,983,566",,"1,029,100,634,591","296,758,174,980","1,415,146,911","4,958,016,066","5,021,334,680","-63,318,614","1,351,828,297","14,374,209,624",,"-13,022,381,327","-21,085,965,344","8,063,584,017",-155,
'4/2023,"8,722,384,641,151","32,369,617,914","8,690,015,023,237","7,167,392,446,231","1,522,622,577,006","32,916,313,358","64,318,495,317","63,900,415,235",,"1,266,785,303,160","318,212,427,056","-93,777,335,169","7,686,760,115","11,123,588,512","-3,436,828,397","-97,214,163,566","6,258,012,250","20,502,454","-103,492,678,270","-100,877,178,431","-2,615,499,839",-740,
'1/2024,"9,067,798,718,464","26,143,511,710","9,041,655,206,754","7,234,315,234,523","1,807,339,972,231","25,258,430,458","60,630,739,879","60,442,704,271",,"1,380,389,454,377","302,491,919,959","89,086,288,474","4,131,228,757","4,468,062,099","-336,833,342","88,749,455,132","28,062,169,493",,"60,687,285,639","38,763,912,024","21,923,373,615",285,
'2/2024,,,,,,,,,,,,,,,,,,,,,,,
'3/2024,"10,409,521,466,747","33,842,435,041","10,375,679,031,706","8,485,409,054,180","1,890,269,977,526","26,144,077,215","59,533,018,577","59,532,523,977",,"1,319,828,226,072","337,801,765,639","199,251,044,453","5,361,124,034","7,528,688,976","-2,167,564,942","197,083,479,511","31,670,383,931",,"165,413,095,580","140,910,940,528","24,502,155,052","1,034",
'4/2024,"11,492,340,452,585","44,692,302,663","11,447,648,149,922","9,373,187,059,702","2,074,461,090,220","36,297,974,502","78,945,085,083","78,887,852,765",,"1,465,138,634,655","405,398,867,143","161,276,477,841","10,764,824,070","2,693,453,413","8,071,370,657","169,347,848,498","35,486,237,444",,"133,861,611,054","111,098,302,377","22,763,308,677",815,
