Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'4/2016,"4,428,921,979,910",,"4,428,921,979,910","3,249,423,951,296","1,179,498,028,614","70,729,230,752","1,006,247,077,339","120,248,491,987","122,199,753,766","427,478,217,460","438,742,349,552","-500,040,631,219","42,568,966,133","78,694,841,842","-36,125,875,709","-536,166,506,928","134,729,456,651","-99,576,897,295","-571,319,066,284","-325,234,362,042","-246,084,704,242",-181,
'1/2017,"4,032,392,391,271",,"4,032,392,391,271","3,395,312,655,612","637,079,735,659","139,530,233,357","250,729,908,677","153,886,135,404","126,752,672,479","364,701,463,869","428,955,561,106","-141,024,292,157","14,885,310,898","12,911,070,322","1,974,240,576","-139,050,051,581","42,046,522,537","10,410,332,275","-191,506,906,393","-186,047,792,214","-5,459,114,179",-83,
'2/2017,"4,696,225,186,270",,"4,696,225,186,270","3,639,588,910,972","1,056,636,275,298","1,923,833,440,566","1,256,435,025,043","153,572,318,125","118,156,648,739","427,506,064,813","620,349,716,046","794,335,558,701","23,539,873,404","27,184,421,362","-3,644,547,958","790,691,010,743","120,725,984,998","126,547,056,885","543,417,968,860","363,893,608,050","179,524,360,810",153,
'3/2017,"4,227,288,074,627",,"4,227,288,074,627","2,988,118,541,256","1,239,169,533,371","400,802,278,273","680,159,096,218","186,092,609,939","131,775,402,647","435,097,919,511","600,326,203,264","56,163,995,298","25,389,716,130","61,176,247,084","-35,786,530,954","20,377,464,344","152,985,916,816","-53,717,102,123","-78,891,350,349","-53,042,374,388","-25,848,975,961",-24,
'4/2017,"6,077,708,368,762","10,447,161,807","6,067,261,206,955","4,517,062,383,888","1,550,198,823,067","514,070,963,321","1,292,497,618,510","197,669,596,628","62,422,868,993","540,436,911,602","941,256,218,719","-647,498,093,450","150,010,374,208","147,758,344,075","2,252,030,133","-645,246,063,317","354,378,658,883","-245,546,998,100","-754,077,724,100","-456,186,072,919","-297,891,651,181",-205,
'1/2018,"3,945,682,975,733","2,686,156,760","3,942,996,818,973","3,038,582,480,000","904,414,338,973","550,336,958,628","581,826,963,598","194,745,952,958","113,228,677,549","369,528,705,136","584,336,975,512","32,287,330,904","17,382,281,772","35,767,938,015","-18,385,656,243","13,901,674,661","54,717,375,899","66,757,342,849","-107,573,044,087","-146,978,375,405","39,405,331,318",-66,
'2/2018,"4,070,980,002,511","10,875,038,632","4,060,104,963,879","2,845,992,387,898","1,214,112,575,981","53,322,293,258","155,534,999,448","226,763,210,428","-525,057,935,328","383,672,154,079","255,078,449,227","-51,908,668,843","45,922,046,528","23,688,134,560","22,233,911,968","-29,674,756,875","119,331,019,209","109,482,173,848","-258,487,949,932","-271,400,455,343","12,912,505,411",-126,
'3/2018,"4,432,030,612,248","3,606,325,714","4,428,424,286,534","3,086,507,946,241","1,341,916,340,293","618,306,196,201","313,999,668,438","258,524,918,337","-844,625,338,030","420,108,951,278","529,398,698,595","-147,910,119,847","10,681,906,755","9,066,151,498","1,615,755,257","-146,294,364,590","92,431,767,322","206,951,271,631","-445,677,403,543","-460,478,466,702","14,801,063,159",-201,
'4/2018,"4,433,918,641,952","3,715,090,463","4,430,203,551,489","2,898,198,978,896","1,532,004,572,593","507,565,724,023","944,135,077,304","235,281,798,936","-162,709,535,231","346,729,851,186","578,410,921,072","7,584,911,823","27,788,309,970","18,911,433,185","8,876,876,785","16,461,788,608","132,218,313,863","-130,654,259,230","14,897,733,975","79,390,640,810","-64,492,906,835",22,
'1/2019,"3,801,371,923,277","6,297,385,804","3,795,074,537,473","2,472,850,912,484","1,322,223,624,989","279,540,948,177","777,787,242,300","255,492,993,357","117,954,882,276","322,632,564,344","460,928,816,697","158,370,832,101","34,106,700,695","26,561,155,135","7,545,545,560","165,916,377,661","78,528,296,332","22,772,018,972","64,616,062,357","72,380,774,016","-7,764,711,659",24,
'2/2019,"4,078,009,140,227","4,444,344,856","4,073,564,795,371","2,586,622,087,909","1,486,942,707,462","581,354,492,711","134,427,112,450","205,438,364,983","-5,519,103,214","404,325,771,770","457,119,392,433","1,066,905,820,306","43,719,102,007","19,092,171,659","24,626,930,348","1,091,532,750,654","155,959,376,390","238,877,583,138","696,695,791,126","638,746,998,183","57,948,792,943",210,
'3/2019,"4,534,391,052,206","3,476,757,467","4,530,914,294,739","2,775,523,828,063","1,755,390,466,676","216,497,699,283","509,299,969,360","146,173,756,822","-112,661,954,677","420,773,246,969","528,960,377,523","400,192,617,430","52,942,735,339","75,349,977,400","-22,407,242,061","377,785,375,369","214,745,846,663","12,233,847,884","150,805,680,822","58,814,328,082","91,991,352,740",19,
'4/2019,"4,666,212,253,941","3,384,254,369","4,662,827,999,572","3,373,502,430,748","1,289,325,568,824","373,427,675,834","469,213,175,047","309,354,053,744","368,354,653,585","411,609,501,974","616,771,725,807","533,513,495,415","115,865,810,103","42,958,130,960","72,907,679,143","606,421,174,558","259,731,072,072","-56,648,516,621","403,338,619,107","433,399,695,702","-30,061,076,595",136,
'1/2020,"4,307,737,174,053","3,258,970,674","4,304,478,203,379","2,669,953,872,946","1,634,524,330,433","1,078,364,736,348","1,005,794,953,452","242,064,592,938","678,770,181,216","412,682,560,707","889,116,029,087","1,084,065,704,751","99,610,210,963","26,237,463,685","73,372,747,278","1,157,438,452,029","121,104,058,387","134,036,232,754","902,298,160,888","962,732,329,048","-60,434,168,160",309,
'2/2020,"4,318,320,341,935","9,325,495,765","4,308,994,846,170","2,651,089,610,388","1,657,905,235,782","-310,547,354,192","435,265,280,078","196,009,483,720","157,948,754,554","401,473,554,612","634,481,897,867","34,085,903,587","20,692,320,232","39,448,823,657","-18,756,503,425","15,329,400,162","228,073,907,652","-89,473,836,047","-123,270,671,443","-200,211,538,967","76,940,867,524",-72,
'3/2020,"5,771,815,907,050","45,955,458,907","5,725,860,448,143","3,334,121,046,730","2,391,739,401,413","332,688,641,254","989,897,738,299","181,246,627,034","674,069,308,976","512,641,630,084","818,671,062,984","1,077,286,920,276","27,671,834,268","15,013,266,072","12,658,568,196","1,089,945,488,472","260,983,915,058","-26,937,030,154","855,898,603,568","875,786,110,400","-19,887,506,832",280,
'4/2020,"4,531,716,177,072","6,105,310,509","4,525,610,866,563","3,300,015,894,293","1,225,594,972,270","404,113,227,235","835,896,878,018","158,624,097,149","95,965,949,655","554,639,890,630","1,504,207,226,849","-1,169,069,846,337","40,317,963,173","44,874,934,159","-4,556,970,986","-1,173,626,817,323","160,544,386,522","-18,499,232,845","-1,315,671,971,000","-1,182,253,891,756","-133,418,079,244",-391,
'1/2021,"4,628,127,273,052",,"4,628,127,273,052","2,728,101,071,522","1,900,026,201,530","1,279,899,290,394","519,092,175,588","167,458,629,282","-1,087,802,766,315","467,145,638,236","1,217,346,482,769","-111,461,570,984","19,005,682,330","13,166,213,183","5,839,469,147","-105,622,101,837","155,276,049,887","161,311,739,340","-422,209,891,064","-660,781,626,567","238,571,735,503",-217,
'2/2021,"5,259,749,497,683",,"5,259,749,497,683","3,097,356,699,433","2,162,392,798,250","974,110,671,411","478,559,796,829","142,589,807,420","-680,120,979,688","431,477,392,653","365,733,448,891","1,180,611,851,600","42,672,751,456","29,430,061,666","13,242,689,790","1,193,854,541,390","228,947,695,877","100,150,547,127","864,756,298,386","568,636,371,498","296,119,926,888",186,
'3/2021,"5,501,575,880,685","-13,018,389,568","5,514,594,270,253","3,064,530,776,205","2,450,063,494,048","618,285,801,356","966,726,165,529","149,988,073,633","2,242,256,671","497,518,574,256","1,142,854,131,338","463,492,680,952","50,880,211,926","41,586,707,815","9,293,504,111","472,786,185,063","211,542,921,711","177,689,549,627","83,553,713,725","-7,215,825,736","90,769,539,461",,
'4/2021,"3,975,539,789,692",,"3,975,539,789,692","2,995,703,952,108","979,835,837,584","394,866,361,583","335,025,450,342","156,218,799,993","-73,828,536,205","507,398,103,866","1,125,153,784,592","-666,703,675,838","56,582,278,926","-31,835,396,191","88,417,675,117","-578,286,000,721","144,217,202,161","34,284,473,890","-756,787,676,772","-756,176,730,287","-610,946,485",-254,
'1/2022,"5,436,578,828,668",,"5,436,578,828,668","2,835,563,843,272","2,601,014,985,396","692,813,195,130","665,142,619,484","150,363,468,541","144,317,400,803","518,491,991,322","559,907,289,281","1,694,603,681,242","21,555,362,648","72,958,436,627","-51,403,073,979","1,643,200,607,263","254,512,494,093","-14,973,997,033","1,403,662,110,203","1,189,350,636,728","214,311,473,475",388,
'2/2022,"5,850,499,924,035",,"5,850,499,924,035","3,174,890,364,107","2,675,609,559,928","1,238,975,837,711","639,078,222,535","75,226,744,985","67,728,785,875","573,795,767,957","1,338,574,207,741","1,430,865,985,281","25,172,799,815","-59,980,937,488","85,153,737,303","1,516,019,722,584","97,865,039,566","305,093,357,805","1,113,061,325,213","921,824,926,421","191,236,398,792",301,
'3/2022,"6,327,263,848,834",,"6,327,263,848,834","2,719,459,216,219","3,607,804,632,615","1,545,096,889,467","547,618,894,817","227,853,657,063","5,277,705,032","683,112,981,409","1,552,511,180,393","2,374,936,170,495","24,756,177,792","12,529,958,426","12,226,219,366","2,387,162,389,861","276,336,762,738","359,855,976,124","1,750,969,650,999","1,565,915,112,664","185,054,538,335",475,
'4/2022,"6,123,809,505,955",,"6,123,809,505,955","3,459,180,661,397","2,664,628,844,558","100,110,534,779","729,626,136,947","28,054,172,365","65,698,764,086","805,316,379,229","3,853,125,119,476","-2,557,629,492,229","56,109,520,245","26,591,205,187","29,518,315,058","-2,528,111,177,171","223,114,696,340","-29,244,492,886","-2,721,981,380,625","-2,820,699,347,956","98,717,967,331",-927,
'1/2023,"6,481,102,464,663",,"6,481,102,464,663","3,233,500,995,520","3,247,601,469,143","607,227,247,159","906,187,839,061","106,272,953,076","107,426,491,077","761,262,334,570","1,335,606,090,668","959,198,943,080","28,420,081,037","179,872","28,419,901,165","987,618,844,245","256,958,513,296","136,117,918,171","594,542,412,778","371,671,522,682","222,870,890,096",122,
'2/2023,"6,861,419,133,040",,"6,861,419,133,040","3,722,474,162,296","3,138,944,970,744","724,666,888,511","1,257,479,389,190","92,139,532,069","66,668,367,452","783,410,690,179","2,701,183,624,335","-811,793,476,997","25,551,764,228","14,426,999,546","11,124,764,682","-800,668,712,315","108,758,668,978","309,769,744,804","-1,219,197,126,097","-1,445,126,744,049","225,929,617,952",-475,
'3/2023,"7,325,551,939,115",,"7,325,551,939,115","3,575,592,983,358","3,749,958,955,757","1,678,281,411,222","859,055,376,619","100,631,888,692","51,274,168,984","1,004,279,680,321","1,518,104,994,957","2,098,074,484,066","38,501,258,756","27,036,557,889","11,464,700,867","2,109,539,184,933","422,243,315,684","277,707,750,148","1,409,588,119,101","1,104,436,326,382","305,151,792,719",363,
'4/2023,"7,563,571,969,411",,"7,563,571,969,411","3,432,679,155,544","4,130,892,813,867","687,720,211,657","460,052,444,303","75,686,073,523","59,931,667,681","1,241,519,080,353","1,932,546,706,055","1,244,426,462,494","78,862,638,889","26,387,380,091","52,475,258,798","1,296,901,721,292","678,039,899,827","-81,816,740,375","700,678,561,840","403,371,662,268","297,306,899,572",133,
'1/2024,"7,906,934,200,751",,"7,906,934,200,751","3,775,687,733,083","4,131,246,467,668","1,555,153,010,122","783,906,032,885","95,776,275,262","110,060,488,376","1,090,261,689,548","1,481,923,253,045","2,440,368,990,688","57,757,496,266","18,979,771,185","38,777,725,081","2,479,146,715,769","454,429,739,644","391,223,617,484","1,633,493,358,641","1,295,970,964,102","337,522,394,539",426,
'2/2024,"8,678,636,451,483",,"8,678,636,451,483","3,863,638,828,908","4,814,997,622,575","1,412,402,187,582","970,731,073,709","89,198,658,486","109,263,365,888","1,277,269,867,275","1,894,971,555,226","2,193,690,679,835","72,075,385,918","13,377,877,705","58,697,508,213","2,252,388,188,048","667,977,516,574","370,789,922,164","1,213,620,749,310","827,559,097,483","386,061,651,827",272,
'3/2024,"9,130,052,809,653",,"9,130,052,809,653","4,387,317,965,034","4,742,734,844,619","-909,009,311,497","836,112,756,914","94,383,907,131","115,776,273,946","942,626,589,803","966,669,138,917","1,204,093,321,434","73,167,075,310","-20,243,349,401","93,410,424,711","1,297,503,746,145","861,324,521,458","-185,833,769,384","622,012,994,071","178,307,392,710","443,705,601,361",59,
'4/2024,"9,639,525,951,925",,"9,639,525,951,925","4,502,515,638,239","5,137,010,313,686","2,181,091,603,433","-817,217,488,488","36,586,281,344","72,260,564,027","1,170,982,224,751","2,476,681,899,497","4,559,915,845,386","201,071,686,349","77,937,862,894","123,133,823,455","4,683,049,668,841","746,349,467,360","226,983,860,272","3,709,716,341,209","3,321,438,444,687","388,277,896,522","1,056",
